Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Seabrooke,Glen,N,1987,1989,F,73,190,September,11,1967,Canada
Baillargeon,Joel,N,1987,1989,F,73,205,October,6,1964,Canada
Carlsson,Anders,N,1987,1989,F,71,185,November,25,1960,Sweden
Krentz,Dale,N,1987,1989,F,71,190,December,19,1961,Canada
Lenardon,Tim,N,1987,1990,F,74,185,May,11,1962,Canada
Walker,Gord,N,1987,1990,F,73,175,August,12,1965,Canada
Dineen,Peter,N,1987,1990,D,71,181,November,19,1960,Canada
Sanipass,Everett,N,1987,1991,F,74,204,February,13,1968,Canada
Thibaudeau,Gilles,N,1987,1991,F,70,165,March,4,1963,Canada
Millar,Mike,N,1987,1991,F,70,170,April,28,1965,Canada
Quinney,Ken,N,1987,1991,F,70,186,May,23,1965,Canada
Duncan,Iain,N,1987,1991,F,73,200,August,4,1963,Canada
Middendorf,Max,N,1987,1991,F,76,210,August,18,1967,USA
Parker,Jeff,N,1987,1991,F,75,194,September,7,1964,USA
Guenette,Steve,N,1987,1991,G,70,175,November,13,1965,Canada
Gronstrand,Jari,N,1987,1991,D,75,195,November,14,1962,Finland
Maguire,Kevin,N,1987,1992,F,74,200,January,5,1963,Canada
Zemlak,Richard,N,1987,1992,F,74,190,March,3,1963,Canada
Gamble,Troy,N,1987,1992,G,71,195,April,7,1967,Canada
VanDorp,Wayne,N,1987,1992,F,76,225,May,19,1961,Canada
Jones,Brad,N,1987,1992,F,73,195,June,26,1965,USA
Guy,Kevan,N,1987,1992,D,75,202,July,16,1965,Canada
Sandelin,Scott,N,1987,1992,D,73,200,August,8,1964,USA
Dobbin,Brian,N,1987,1992,F,71,205,August,18,1966,Canada
Priestlay,Ken,N,1987,1992,F,70,190,August,24,1967,Canada
Agnew,Jim,N,1987,1993,D,73,190,March,21,1966,Canada
Caufield,Jay,N,1987,1993,F,76,237,July,17,1960,USA
Pedersen,Allen,N,1987,1994,D,75,210,January,13,1965,Canada
Berthiaume,Daniel,N,1987,1994,G,69,155,January,26,1966,Canada
Greenlaw,Jeff,N,1987,1994,F,73,230,February,28,1968,Canada
Chychrun,Jeff,N,1987,1994,D,76,215,May,3,1966,Canada
Stevens,John,N,1987,1994,D,73,195,May,4,1966,Canada
Freer,Mark,N,1987,1994,F,70,180,July,14,1968,Canada
Reddick, Eldon ,N,1987,1994,G,68,170,October,6,1964,Canada
Lafreniere,Jason,N,1987,1994,F,71,185,December,6,1966,Canada
Thomson,Jim,N,1987,1994,F,73,220,December,30,1965,Canada
LeBlanc,John,N,1987,1995,F,73,190,January,21,1964,Canada
Anderson,Shawn,N,1987,1995,D,73,200,February,7,1968,Canada
Hartman,Mike,N,1987,1995,F,73,190,February,7,1967,USA
Ruuttu,Christian,N,1987,1995,F,71,194,February,20,1964,Finland
Ferner,Mark,N,1987,1995,D,73,193,September,5,1965,Canada
Mark,Gordon,N,1987,1995,D,76,218,September,10,1964,Canada
Huffman,Kerry,N,1987,1996,D,74,200,January,3,1968,Canada
Sweeney,Bob,N,1987,1996,F,75,200,January,25,1964,USA
Carson,Jimmy,N,1987,1996,F,73,200,July,20,1968,USA
Cavallini,Paul,N,1987,1996,D,73,202,October,13,1965,Canada
Lauer,Brad,N,1987,1996,F,73,195,October,27,1966,Canada
Ewen,Todd,N,1987,1997,F,74,230,March,22,1966,Canada
Smyth,Greg,N,1987,1997,D,75,212,April,23,1966,Canada
Churla,Shane,N,1987,1997,F,73,200,June,24,1965,Canada
Donnelly,Mike,N,1987,1997,F,71,185,October,10,1963,USA
Wood,Randy,N,1987,1997,F,73,195,October,12,1963,USA
Maciver,Norm,N,1987,1998,D,71,180,September,8,1964,Canada
Lemieux,Jocelyn,N,1987,1998,F,71,220,November,18,1967,Canada
Pivonka,Michal,N,1987,1999,F,74,200,January,28,1966,Czech Republic
Hough,Mike,N,1987,1999,F,73,197,February,6,1963,Canada
Carkner,Terry,N,1987,1999,D,75,210,March,7,1966,Canada
Beukeboom,Jeff,N,1987,1999,D,77,230,March,28,1965,Canada
Chiasson,Steve,N,1987,1999,D,73,205,April,14,1967,Canada
Hextall,Ron,N,1987,1999,G,75,192,May,3,1964,Canada
King,Derek,N,1987,2000,F,73,203,February,11,1967,Canada
Stapleton,Mike,N,1987,2001,F,70,183,May,5,1966,Canada
Brown,Doug,N,1987,2001,F,70,185,June,12,1964,USA
Murphy,Joe,N,1987,2001,F,73,190,October,16,1967,Canada
Terreri,Chris,N,1987,2001,G,69,170,November,15,1964,USA
Musil,Frantisek,N,1987,2001,D,75,215,December,17,1964,Czech Republic
Manson,Dave,N,1987,2002,D,74,200,January,27,1967,Canada
Duchesne,Steve,N,1987,2002,D,71,195,June,30,1965,Canada
Krupp,Uwe,N,1987,2003,D,78,235,June,24,1965,Germany
Olausson,Fredrik,N,1987,2003,D,74,198,October,5,1966,Sweden
Berube,Craig,N,1987,2003,F,73,210,December,17,1965,Canada
Ronning,Cliff,N,1987,2004,F,68,165,October,1,1965,Canada
Damphousse,Vincent,N,1987,2004,F,73,200,December,17,1967,Canada
Robitaille,Luc,Y,1987,2006,F,73,215,February,17,1966,Canada
Hull,Brett,Y,1987,2006,F,71,203,August,9,1964,Canada
Nieuwendyk,Joe,N,1987,2007,F,74,205,September,10,1966,Canada
Roberts,Gary,N,1987,2009,F,74,215,May,23,1966,Canada
MacDonald,Brett,N,1988,1988,D,73,205,January,5,1966,Canada
Gosselin,Guy,N,1988,1988,D,70,185,January,6,1964,USA
Bakovic,Peter,N,1988,1988,F,74,200,January,31,1965,Canada
Nemeth,Steve,N,1988,1988,F,68,170,February,11,1967,Canada
Duggan,Ken,N,1988,1988,D,75,210,February,21,1963,Canada
Goertz,Dave,N,1988,1988,D,71,210,March,28,1965,Canada
Servinis,George,N,1988,1988,F,71,180,April,29,1962,Canada
Tomlinson,Kirk,N,1988,1988,F,70,175,May,2,1968,Canada
English,John,N,1988,1988,D,74,190,May,13,1966,Canada
Boh,Rick,N,1988,1988,F,70,185,May,18,1964,Canada
Saunders,David,N,1988,1988,F,73,195,May,20,1966,Canada
Raymond,Alain,N,1988,1988,G,70,180,June,24,1965,Canada
Germain,Eric,N,1988,1988,D,73,195,June,26,1966,Canada
Roy,Stephane,N,1988,1988,F,73,190,June,29,1967,Canada
Ennis,Jim,N,1988,1988,D,73,200,July,10,1967,Canada
Terry,Bill,N,1988,1988,F,68,175,July,13,1961,Canada
Mayer,Pat,N,1988,1988,D,75,225,July,24,1961,USA
Vellucci,Mike,N,1988,1988,D,73,180,August,11,1966,USA
Miner,John,N,1988,1988,D,70,180,August,28,1965,Canada
Murray,Mike,N,1988,1988,F,73,195,August,29,1966,Canada
Okerlund,Todd,N,1988,1988,F,71,200,September,6,1964,USA
McLellan,Todd,N,1988,1988,F,71,185,October,3,1967,Canada
Larocque,Denis,N,1988,1988,D,73,195,October,5,1967,Canada
Harlow,Scott,N,1988,1988,F,73,185,October,11,1963,USA
Shudra,Ron,N,1988,1988,D,74,192,November,28,1967,Canada
Natyshak,Mike,N,1988,1988,F,74,201,November,29,1963,Canada
Gratton,Dan,N,1988,1988,F,73,185,December,7,1966,Canada
Micheletti,Pat,N,1988,1988,F,70,175,December,11,1963,USA
MacEachern,Shane,N,1988,1988,F,71,180,December,14,1967,Canada
Woodley,Dan,N,1988,1988,F,71,185,December,29,1967,USA
Rohlicek,Jeff,N,1988,1989,F,73,180,January,27,1966,USA
Dallman,Marty,N,1988,1989,F,70,180,February,15,1963,Canada
Roupe,Magnus,N,1988,1989,F,73,189,March,23,1963,Sweden
Walsh,Mike,N,1988,1989,F,74,195,April,3,1962,USA
Schreiber,Wally,N,1988,1989,F,71,180,April,15,1962,Canada
Kidd,Ian,N,1988,1989,D,71,195,May,11,1964,USA
Berger,Mike,N,1988,1989,D,73,195,June,2,1967,Canada
Beraldo,Paul,N,1988,1989,F,71,175,October,5,1967,Canada
Metcalfe,Scott,N,1988,1990,F,73,195,January,6,1967,Canada
Brunetta,Mario,N,1988,1990,G,75,180,January,25,1967,Canada
Lehman,Tommy,N,1988,1990,F,73,185,February,3,1964,Sweden
Kachowski,Mark,N,1988,1990,F,71,200,February,20,1965,Canada
Guerard,Stephane,N,1988,1990,D,74,198,April,12,1968,Canada
Bodak,Bob,N,1988,1990,F,74,200,May,28,1961,Canada
Richard,Mike,N,1988,1990,F,70,190,July,9,1966,Canada
McRae,Chris,N,1988,1990,F,73,200,August,26,1965,Canada
Flichel,Todd,N,1988,1990,D,75,195,September,14,1964,Canada
Richard,Jean-Marc,N,1988,1990,D,71,178,October,8,1966,Canada
Gotaas,Steve,N,1988,1991,F,70,180,May,10,1967,Canada
Nordmark,Robert,N,1988,1991,D,73,209,August,20,1962,Sweden
Shoebottom,Bruce,N,1988,1991,D,74,200,August,20,1965,Canada
Messier,Mitch,N,1988,1991,F,74,200,August,21,1965,Canada
Wheeldon,Simon,N,1988,1991,F,71,170,August,30,1966,Canada
Babe,Warren,N,1988,1991,F,74,190,September,7,1968,Canada
Aitken,Brad,N,1988,1991,F,74,200,October,30,1967,Canada
Pryakhin, Sergei ,N,1988,1991,F,75,210,December,7,1963,Russia
Hrdina,Jiri,N,1988,1992,F,73,195,January,5,1958,Czech Republic
Dallman,Rod,N,1988,1992,F,71,185,January,26,1967,Canada
Martinson,Steve,N,1988,1992,F,73,205,June,21,1959,USA
Vincelette,Dan,N,1988,1992,F,74,202,August,1,1967,Canada
Prajsler,Petr,N,1988,1992,D,74,200,September,21,1965,Czech Republic
Fortier,Marc,N,1988,1993,F,73,192,February,26,1966,Canada
Callander,Jock,N,1988,1993,F,73,188,April,23,1961,Canada
Joyce,Bob,N,1988,1993,F,73,195,July,11,1966,Canada
McBean,Wayne,N,1988,1994,D,74,185,February,21,1969,Canada
Vilgrain,Claude,N,1988,1994,F,73,205,March,1,1963,Haiti
Murphy,Rob,N,1988,1994,F,75,205,April,7,1969,Canada
Paynter,Kent,N,1988,1994,D,73,183,April,17,1965,Canada
McRae,Ken,N,1988,1994,F,73,195,April,23,1968,Canada
Mackey,David,N,1988,1994,F,76,205,July,24,1966,Canada
Pietrangelo,Frank,N,1988,1994,G,70,185,December,17,1964,Canada
May,Alan,N,1988,1995,F,73,200,January,14,1965,Canada
Riendeau,Vincent,N,1988,1995,G,70,185,April,20,1966,Canada
Charbonneau,Jose,N,1988,1995,F,73,195,November,21,1966,Canada
Kudelski,Bob,N,1988,1996,F,73,205,March,3,1964,USA
McSween,Don,N,1988,1996,D,71,197,June,9,1964,USA
Dirk,Robert,N,1988,1996,D,76,210,August,20,1966,Canada
Elynuik,Pat,N,1988,1996,F,73,185,October,30,1967,Canada
McLlwain,Dave,N,1988,1997,F,73,185,January,9,1967,Canada
Archibald,Dave,N,1988,1997,F,73,210,April,14,1969,Canada
Glynn,Brian,N,1988,1997,D,76,218,November,23,1967,Germany
Sidorkiewicz,Peter,N,1988,1998,G,69,180,June,29,1963,Poland
Vukota,Mick,N,1988,1998,F,73,225,September,14,1966,Canada
Fedyk,Brent,N,1988,1999,F,73,194,March,8,1967,Canada
Baumgartner,Ken,N,1988,1999,F,73,205,March,11,1966,Canada
Reese,Jeff,N,1988,1999,G,69,180,March,24,1966,Canada
Tinordi,Mark,N,1988,1999,D,76,213,May,9,1966,Canada
Noonan,Brian,N,1988,1999,F,73,200,May,29,1965,USA
Janney,Craig,N,1988,1999,F,73,190,September,26,1967,USA
Yawney,Trent,N,1988,1999,D,75,195,September,29,1965,Canada
Stern,Ron,N,1988,2000,F,73,200,January,11,1967,Canada
Brown,Rob,N,1988,2000,F,70,177,April,10,1968,Canada
Zalapski,Zarley,N,1988,2000,D,73,215,April,22,1968,Canada
Sheppard,Ray,N,1988,2000,F,73,195,May,27,1966,Canada
Poeschek,Rudy,N,1988,2000,F,74,218,September,29,1966,Canada
Chambers,Shawn,N,1988,2000,D,74,210,October,11,1966,USA
King,Kris,N,1988,2001,F,71,208,February,18,1966,Canada
Janssens,Mark,N,1988,2001,F,75,212,May,19,1968,Canada
Joseph,Chris,N,1988,2001,D,75,212,September,10,1969,Canada
Stevens,Kevin,N,1988,2002,F,75,230,April,15,1965,USA
Hawgood,Greg,N,1988,2002,D,70,190,August,10,1968,Canada
Hogue,Benoit,N,1988,2002,F,70,194,October,28,1966,Canada
Norton,Jeff,N,1988,2002,D,74,195,November,25,1965,USA
Dahlen,Ulf,N,1988,2003,F,74,199,January,12,1967,Sweden
Houlder,Bill,N,1988,2003,D,74,217,March,11,1967,Canada
Graves,Adam,N,1988,2003,F,73,205,April,12,1968,Canada
Hrkac,Tony,N,1988,2003,F,70,190,July,7,1966,Canada
Johansson,Calle,N,1988,2004,D,71,203,February,14,1967,Sweden
Finley,Jeff,N,1988,2004,D,74,205,April,14,1967,Canada
Tugnutt,Ron,N,1988,2004,G,71,160,October,22,1967,Canada
Buchberger,Kelly,N,1988,2004,F,74,210,December,2,1966,Canada
Leetch,Brian,Y,1988,2006,D,73,185,March,3,1968,USA
Albelin,Tommy,N,1988,2006,D,74,195,May,21,1964,Sweden
Young,Scott,N,1988,2006,F,73,200,October,1,1967,USA
Burke,Sean,N,1988,2007,G,76,211,January,29,1967,Canada
Turgeon,Pierre,N,1988,2007,F,73,199,August,28,1969,Canada
Wesley,Glen,N,1988,2008,D,73,207,October,2,1968,Canada
Shanahan,Brendan,N,1988,2009,F,75,220,January,23,1969,Canada
Richardson,Luke,N,1988,2009,D,75,208,March,26,1969,Canada
Schneider,Mathieu,N,1988,2009,D,71,195,June,12,1969,USA
Latos,James,N,1989,1989,F,73,200,January,4,1966,Canada
Podloski,Ray,N,1989,1989,F,74,210,January,5,1966,Canada
Boyko,Darren,N,1989,1989,F,69,169,January,16,1964,Canada
Kyllonen,Markku,N,1989,1989,F,75,194,February,15,1962,Finland
Joseph,Tony,N,1989,1989,F,76,203,March,1,1969,Canada
Fletcher,Steven,N,1989,1989,F,74,180,March,31,1962,Canada
Jerrard,Paul,N,1989,1989,D,70,185,April,20,1965,Canada
Armstrong,Tim,N,1989,1989,F,71,170,May,12,1967,Canada
Torkki,Jari,N,1989,1989,F,71,185,August,11,1965,Finland
Brochu,Stephane,N,1989,1989,D,73,185,August,15,1967,Canada
Gaume,Dallas,N,1989,1989,F,70,185,August,27,1963,Canada
Reierson,Dave,N,1989,1989,D,73,185,August,30,1964,Canada
Pasek,Dusan,N,1989,1989,F,73,200,September,7,1960,Czech Republic
Kaese,Trent,N,1989,1989,F,71,225,September,9,1967,Canada
Issel,Kim,N,1989,1989,F,76,196,September,25,1967,Canada
Liba,Igor,N,1989,1989,F,73,192,November,4,1960,Slovakia
Mailhot,Jacques,N,1989,1989,F,74,208,December,5,1961,Canada
Laviolette,Peter,N,1989,1989,D,74,200,December,7,1964,USA
Rucinski,Mike,N,1989,1989,F,71,190,December,12,1963,USA
Ware,Michael,N,1989,1990,F,77,216,March,22,1967,Canada
Jarvi,Iiro,N,1989,1990,F,73,198,March,23,1965,Finland
Harding,Jeff,N,1989,1990,F,75,220,April,6,1969,Canada
Exelby,Randy,N,1989,1990,G,69,170,August,13,1965,Canada
Mokosak,John,N,1989,1990,D,71,200,September,7,1963,Canada
Tuttle,Steve,N,1989,1991,F,73,197,January,5,1966,Canada
Felix,Chris,N,1989,1991,D,71,190,May,27,1964,Canada
Horava,Miloslav,N,1989,1991,D,73,193,August,14,1961,Czech Republic
Doyon,Mario,N,1989,1991,D,73,174,August,27,1968,Canada
Priakin,Sergei,N,1989,1991,F,75,210,December,7,1963,Russia
Lessard,Rick,N,1989,1992,D,74,206,January,9,1968,Canada
Mazur,Jay,N,1989,1992,F,74,205,January,22,1965,Canada
Bloemberg,Jeff,N,1989,1992,D,74,205,January,31,1968,Canada
Cimetta,Rob,N,1989,1992,F,73,190,February,15,1970,Canada
Couturier,Sylvain,N,1989,1992,F,74,205,April,23,1968,Canada
Sabourin,Ken,N,1989,1992,D,75,205,April,28,1966,Canada
Myllys,Jarmo,N,1989,1992,G,68,160,May,29,1965,Finland
Hawkins,Todd,N,1989,1992,F,73,195,August,2,1966,Canada
McHugh,Mike,N,1989,1992,F,70,190,August,16,1965,USA
Gaetz,Link,N,1989,1992,D,75,215,October,2,1968,Canada
Vermette,Mark,N,1989,1992,F,73,203,October,3,1967,Canada
Vesey,Jim,N,1989,1992,F,73,202,October,29,1965,USA
Barber,Don,N,1989,1992,F,74,205,December,2,1964,Canada
Ojanen,Janne,N,1989,1993,F,74,200,April,9,1968,Finland
Hodge,Ken,N,1989,1993,F,73,200,April,13,1966,England
Hervey,Matt,N,1989,1993,D,71,205,May,16,1968,USA
Kolstad,Dean,N,1989,1993,D,78,220,June,16,1968,Canada
McDonough,Hubie,N,1989,1993,F,69,180,July,8,1963,USA
Tilley,Tom,N,1989,1994,D,73,190,March,28,1965,Canada
Morris,Jon,N,1989,1994,F,73,175,May,6,1966,USA
Volek,David,N,1989,1994,F,73,185,June,18,1966,Czech Republic
Miller,Brad,N,1989,1994,D,76,220,July,23,1969,Canada
Larose,Guy,N,1989,1994,F,69,180,August,31,1967,Canada
Lavoie,Dominic,N,1989,1994,D,74,205,November,21,1967,Canada
Lebeau,Stephan,N,1989,1995,F,70,173,February,28,1968,Canada
Cronin,Shawn,N,1989,1995,D,74,225,August,20,1963,USA
Kimble,Darin,N,1989,1995,F,74,210,November,22,1968,Canada
Jennings,Grant,N,1989,1996,D,75,210,May,5,1965,Canada
Marois,Daniel,N,1989,1996,F,73,190,October,3,1968,Canada
Draper,Tom,N,1989,1996,G,71,185,November,20,1966,Canada
Hudson,Mike,N,1989,1997,F,73,205,February,6,1967,Canada
Cheveldae,Tim,N,1989,1997,G,70,195,February,15,1968,Canada
Kaminski,Kevin,N,1989,1997,F,70,190,March,13,1969,Canada
Wakaluk,Darcy,N,1989,1997,G,71,180,March,14,1966,Canada
Hughes,Brent,N,1989,1997,F,71,195,April,5,1966,Canada
Dufresne,Donald,N,1989,1997,D,73,206,April,10,1967,Canada
Featherstone,Glen,N,1989,1997,D,76,209,July,8,1968,Canada
Foster,Corey,N,1989,1997,D,75,204,October,27,1969,Canada
Druce,John,N,1989,1998,F,74,195,February,23,1966,Canada
Leroux,Francois,N,1989,1998,D,78,247,April,18,1970,Canada
Todd,Kevin,N,1989,1998,F,70,180,May,4,1968,Canada
Chynoweth,Dean,N,1989,1998,D,73,191,October,30,1968,Canada
Shannon,Darrin,N,1989,1998,F,74,210,December,8,1969,Canada
More, Jayson ,N,1989,1999,D,73,210,January,12,1969,Canada
Waite,Jimmy,N,1989,1999,G,73,180,April,15,1969,Canada
Rychel,Warren,N,1989,1999,F,73,205,May,12,1967,Canada
Ysebaert,Paul,N,1989,1999,F,73,194,May,15,1966,Canada
Cullen,John,N,1989,1999,F,70,182,August,2,1964,Canada
Berg,Bill,N,1989,1999,F,73,205,October,21,1967,Canada
Tabaracci,Rick,N,1989,2000,G,73,190,January,2,1969,Canada
Huscroft,Jamie,N,1989,2000,D,75,210,January,9,1967,Canada
Turcotte,Darren,N,1989,2000,F,73,182,May,2,1968,USA
Fitzpatrick,Mark,N,1989,2000,G,74,195,November,13,1968,Canada
Pearson,Scott,N,1989,2000,F,73,205,December,19,1969,Canada
Burt,Adam,N,1989,2001,D,74,205,January,15,1969,USA
Shannon,Darryl,N,1989,2001,D,74,208,June,21,1968,Canada
Granato,Tony,N,1989,2001,F,70,185,July,25,1964,USA
Yake,Terry,N,1989,2001,F,71,190,October,22,1968,Canada
Essensa,Bob,N,1989,2002,G,73,190,January,14,1965,Canada
Zettler,Rob,N,1989,2002,D,75,200,March,8,1968,Canada
Murphy,Gord,N,1989,2002,D,74,195,March,23,1967,Canada
Whitmore,Kay,N,1989,2002,G,71,175,April,10,1967,Canada
Pilon,Rich,N,1989,2002,D,74,220,April,30,1968,Canada
Grimson,Stu,N,1989,2002,F,76,240,May,20,1965,Canada
Brunet,Benoit,N,1989,2002,F,73,203,August,24,1968,Canada
Ranheim,Paul,N,1989,2003,F,73,210,January,25,1966,USA
McKay,Randy,N,1989,2003,F,74,210,January,25,1967,Canada
Gilchrist,Brent,N,1989,2003,F,71,180,April,3,1967,Canada
Fleury,Theoren,N,1989,2003,F,66,182,June,29,1968,Canada
Lumme,Jyrki,N,1989,2003,D,73,209,July,16,1966,Finland
Hull,Jody,N,1989,2004,F,74,195,February,2,1969,Canada
Keane,Mike,N,1989,2004,F,70,185,May,29,1967,Canada
Hackett,Jeff,N,1989,2004,G,73,198,June,1,1968,Canada
Sweeney,Don,N,1989,2004,D,70,185,August,17,1966,Canada
Miller,Kevin,N,1989,2004,F,71,190,September,2,1965,USA
Leschyshyn,Curtis,N,1989,2004,D,73,207,September,21,1969,Canada
Quintal,Stephane,N,1989,2004,D,75,231,October,22,1968,Canada
DiMaio,Rob,N,1989,2006,F,70,190,February,19,1968,Canada
Marchment,Bryan,N,1989,2006,D,73,200,May,1,1969,Canada
Desjardins,Eric,N,1989,2006,D,73,205,June,14,1969,Canada
Fitzgerald,Tom,N,1989,2006,F,73,190,August,28,1968,USA
Weinrich,Eric,N,1989,2006,D,73,207,December,19,1966,USA
Belfour,Ed,N,1989,2007,G,71,202,April,21,1965,Canada
Linden,Trevor,N,1989,2008,F,76,220,April,11,1970,Canada
Gelinas,Martin,N,1989,2008,F,71,202,June,5,1970,Canada
Roenick,Jeremy,N,1989,2009,F,73,205,January,17,1970,USA
Recchi,Mark,N,1989,2009,F,70,195,February,1,1968,Canada
Numminen,Teppo,N,1989,2009,D,74,198,July,3,1968,Finland
Sakic,Joe,N,1989,2009,F,71,195,July,7,1969,Canada
Mathieson,Jim,N,1990,1990,D,73,209,January,24,1970,Canada
Desjardins,Martin,N,1990,1990,F,73,180,January,28,1967,Canada
Dundas,Rocky,N,1990,1990,F,73,195,January,30,1967,Canada
Routhier,Jean-Marc,N,1990,1990,F,74,190,February,2,1968,Canada
Morton,Dean,N,1990,1990,D,73,196,February,27,1968,Canada
Larter,Tyler,N,1990,1990,F,70,185,March,12,1968,Canada
Culhane,Jim,N,1990,1990,D,73,190,March,13,1965,Canada
Robinson,Scott,N,1990,1990,F,74,180,March,29,1964,Canada
Cristofoli,Ed,N,1990,1990,F,74,205,May,14,1967,Canada
Sevcik,Jaroslav,N,1990,1990,F,69,170,May,15,1965,Czech Republic
Krutov,Vladimir,N,1990,1990,F,69,195,June,1,1960,Russia
Guay,Francois,N,1990,1990,F,73,190,June,8,1968,Canada
Tutt,Brian,N,1990,1990,D,73,195,June,9,1962,Canada
Sim,Trevor,N,1990,1990,F,74,192,June,9,1970,Canada
Balderis,Helmut,N,1990,1990,F,71,190,June,30,1952,Latvia
Eriksson,Peter,N,1990,1990,F,76,218,July,12,1965,Sweden
Sabol,Shaun,N,1990,1990,D,75,230,July,13,1966,USA
Reynolds,Bobby,N,1990,1990,F,71,175,July,14,1967,USA
Greenlay,Mike,N,1990,1990,G,75,200,September,15,1968,Brazil
Bergqvist,Jonas,N,1990,1990,F,73,185,September,26,1962,Sweden
Thyer,Mario,N,1990,1990,F,71,170,September,29,1966,Canada
Mylnikov,Sergei,N,1990,1990,G,70,176,October,6,1958,Russia
Molloy,Mitch,N,1990,1990,F,75,212,October,10,1966,Canada
Starikov,Sergei,N,1990,1990,D,70,225,December,4,1958,Russia
Lindholm,Mikael,N,1990,1990,F,73,194,December,19,1964,Sweden
Gordon,Scott,N,1990,1991,G,70,175,February,6,1963,USA
Dore,Daniel,N,1990,1991,F,75,202,April,9,1970,Canada
Smith,Dennis,N,1990,1991,D,71,190,July,27,1964,USA
Hoffort,Bruce,N,1990,1991,G,70,185,July,30,1966,Canada
Latal,Jiri,N,1990,1992,D,73,190,February,2,1967,Czech Republic
Tanner,John,N,1990,1992,G,75,182,March,17,1971,Canada
Skarda,Randy,N,1990,1992,D,73,205,May,5,1968,USA
Shank,Daniel,N,1990,1992,F,70,190,May,12,1967,Canada
Kushner,Dale,N,1990,1992,F,73,195,June,13,1966,Canada
Capuano,Jack,N,1990,1992,D,74,210,July,7,1966,USA
Bennett,Rick,N,1990,1992,F,76,215,July,24,1967,USA
Hoover,Ron,N,1990,1992,F,73,185,October,28,1966,Canada
Crawford,Lou,N,1990,1992,F,73,185,November,5,1962,Canada
Donatelli,Clark,N,1990,1992,F,70,180,November,22,1965,USA
Lappin,Peter,N,1990,1992,F,71,180,December,31,1965,USA
Mongeau,Michel,N,1990,1993,F,69,190,February,9,1965,Canada
Osborne,Keith,N,1990,1993,F,73,180,April,2,1969,Canada
Snuggerud,Dave,N,1990,1993,F,73,190,June,20,1966,USA
Laforge,Marc,N,1990,1994,F,74,210,January,3,1968,Canada
McReynolds,Brian,N,1990,1994,F,73,192,January,5,1965,Canada
Beauregard,Stephane,N,1990,1994,G,71,190,January,10,1968,Canada
Bergland,Tim,N,1990,1994,F,75,194,January,11,1965,USA
Pederson,Mark,N,1990,1994,F,74,196,January,14,1968,Canada
Govedaris,Chris,N,1990,1994,F,73,200,February,2,1970,Canada
Loewen,Darcy,N,1990,1994,F,70,185,February,26,1969,Canada
Bawa,Robin,N,1990,1994,F,74,214,March,26,1966,Canada
Morin,Stephane,N,1990,1994,F,73,174,March,27,1969,Canada
Brady,Neil,N,1990,1994,F,74,200,April,12,1968,Canada
Ing,Peter,N,1990,1994,G,74,170,April,28,1969,Canada
Hrivnak,Jim,N,1990,1994,G,74,195,May,28,1968,Canada
Ruzicka,Vladimir,N,1990,1994,F,75,215,June,6,1963,Czech Republic
Racicot,Andre,N,1990,1994,G,71,165,June,9,1969,Canada
Kekalainen,Jarmo,N,1990,1994,F,73,190,July,3,1966,Finland
Capuano,Dave,N,1990,1994,F,74,190,July,27,1968,USA
Leach,Jamie,N,1990,1994,F,73,205,August,25,1969,Canada
Townshend,Graeme,N,1990,1994,F,74,225,October,2,1965,Jamaica
Tomlak,Mike,N,1990,1994,F,75,205,October,17,1964,Canada
Horacek,Tony,N,1990,1995,F,76,210,February,3,1967,Canada
Johansson,Roger,N,1990,1995,D,73,190,April,17,1967,Sweden
McIntyre,John,N,1990,1995,F,73,190,April,29,1969,Canada
Fogarty,Bryan,N,1990,1995,D,74,206,June,11,1969,Canada
Thomlinson,Dave,N,1990,1995,F,73,215,October,22,1966,Canada
Stauber,Robb,N,1990,1995,G,71,180,November,25,1967,USA
Cole,Danton,N,1990,1996,F,71,185,January,10,1967,USA
Kasatonov,Alexei,N,1990,1996,D,73,215,October,14,1959,Russia
Broten,Paul,N,1990,1996,F,71,188,October,27,1965,USA
Plavsic,Adrien,N,1990,1997,D,73,200,January,13,1970,Canada
Millen,Corey,N,1990,1997,F,67,170,March,30,1964,USA
Elik,Todd,N,1990,1997,F,74,195,April,15,1966,Canada
Crowder,Troy,N,1990,1997,F,76,220,May,3,1968,Canada
Beers,Bob,N,1990,1997,D,74,200,May,20,1967,USA
Kypreos,Nick,N,1990,1997,F,73,205,June,4,1966,Canada
Kennedy,Sheldon,N,1990,1997,F,70,180,June,15,1969,Canada
Makarov,Sergei,N,1990,1997,F,71,185,June,19,1958,Russia
Fisher,Craig,N,1990,1997,F,75,180,June,30,1970,Canada
Chyzowski,Dave,N,1990,1997,F,73,190,July,11,1971,Canada
Racine,Yves,N,1990,1998,D,73,205,February,7,1969,Canada
Mallette,Troy,N,1990,1998,F,74,210,February,25,1970,Canada
Fetisov,Viacheslav,Y,1990,1998,D,73,220,April,20,1958,Russia
Jablonski,Pat,N,1990,1998,G,73,180,June,20,1967,USA
Krygier,Todd,N,1990,1998,F,73,185,October,12,1965,USA
Peluso,Mike,N,1990,1998,F,76,225,November,8,1965,USA
Russell,Cam,N,1990,1999,D,76,200,January,12,1969,Canada
Severyn,Brent,N,1990,1999,F,74,211,February,22,1966,Canada
Smith,Geoff,N,1990,1999,D,75,194,March,7,1969,Canada
