Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Lupien,Gilles,N,1978,1982,D,78,210,April,20,1954,Canada
Zaharko,Miles,N,1978,1982,D,73,197,April,30,1957,Canada
Zanussi,Ron,N,1978,1982,F,71,180,August,31,1956,Canada
Forbes,Mike,N,1978,1982,D,74,200,September,20,1957,Canada
Brasar,Per-Olov,N,1978,1982,F,68,172,September,30,1950,Sweden
Lee,Peter,N,1978,1983,F,69,180,January,2,1956,England
Kaszycki,Mike,N,1978,1983,F,69,190,February,27,1956,Canada
Nedomansky,Vaclav,N,1978,1983,F,74,205,March,14,1944,Czech Republic
Hopkins,Larry,N,1978,1983,F,73,215,March,17,1954,Canada
Lofthouse,Mark,N,1978,1983,F,74,195,April,21,1957,Canada
McCourt,Dale,N,1978,1984,F,70,180,January,26,1957,Canada
Woods,Paul,N,1978,1984,F,70,175,April,12,1955,Canada
Andersson,Kent-Erik,N,1978,1984,F,74,185,May,24,1951,Sweden
Palmer,Robert,N,1978,1984,D,71,190,September,10,1956,USA
Kerr,Reg,N,1978,1984,F,70,180,October,16,1957,Canada
Regier,Darcy,N,1978,1984,D,71,190,November,27,1956,Canada
St.Croix,Rick,N,1978,1985,G,70,160,January,3,1955,Canada
Hamilton,Jim,N,1978,1985,F,73,180,January,18,1957,Canada
Crombeen,Mike,N,1978,1985,F,71,190,April,16,1957,Canada
Hoffmeyer,Bob,N,1978,1985,D,73,182,July,27,1955,Canada
Fox,Greg,N,1978,1985,D,74,190,August,12,1953,Canada
Maxwell,Bryan,N,1978,1985,D,74,200,September,7,1955,Canada
Miller,Bob,N,1978,1985,F,71,180,September,28,1956,USA
Currie,Tony,N,1978,1985,F,71,166,November,12,1957,Canada
Pierce,Randy,N,1978,1985,F,71,187,November,23,1957,Canada
Mondou,Pierre,N,1978,1985,F,70,185,November,27,1955,Canada
Brownschidle,Jack,N,1978,1986,D,74,195,October,2,1955,USA
Stewart,Bill,N,1978,1986,D,74,190,October,6,1957,Canada
Schutt,Rod,N,1978,1986,F,70,185,October,13,1956,Canada
