"location","date","hour","minute","level","time"
1612404,20110601,19,30,-0.07,0.8125
1612404,20110601,19,36,-0.06,0.816666666666667
1612404,20110601,19,42,-0.05,0.820833333333333
1612404,20110601,19,48,-0.03,0.825
1612404,20110601,19,54,-0.02,0.829166666666667
1612404,20110601,20,0,0,0.833333333333333
1612404,20110601,20,6,0.02,0.8375
1612404,20110601,20,12,0.04,0.841666666666667
1612404,20110601,20,18,0.06,0.845833333333333
1612404,20110601,20,24,0.09,0.85
1612404,20110601,20,30,0.11,0.854166666666667
1612404,20110601,20,36,0.14,0.858333333333333
1612404,20110601,20,42,0.17,0.8625
1612404,20110601,20,48,0.21,0.866666666666667
1612404,20110601,20,54,0.24,0.870833333333333
1612404,20110601,21,0,0.27,0.875
1612404,20110601,21,6,0.31,0.879166666666667
1612404,20110601,21,12,0.35,0.883333333333333
1612404,20110601,21,18,0.39,0.8875
1612404,20110601,21,24,0.43,0.891666666666667
1612404,20110601,21,30,0.47,0.895833333333333
1612404,20110601,21,36,0.52,0.9
1612404,20110601,21,42,0.56,0.904166666666667
1612404,20110601,21,48,0.6,0.908333333333333
1612404,20110601,21,54,0.65,0.9125
1612404,20110601,22,0,0.7,0.916666666666667
1612404,20110601,22,6,0.74,0.920833333333333
1612404,20110601,22,12,0.79,0.925
1612404,20110601,22,18,0.84,0.929166666666667
1612404,20110601,22,24,0.89,0.933333333333333
1612404,20110601,22,30,0.94,0.9375
1612404,20110601,22,36,0.99,0.941666666666667
1612404,20110601,22,42,1.04,0.945833333333333
1612404,20110601,22,48,1.09,0.95
1612404,20110601,22,54,1.14,0.954166666666667
1612404,20110601,23,0,1.19,0.958333333333333
1612404,20110601,23,6,1.24,0.9625
1612404,20110601,23,12,1.29,0.966666666666667
1612404,20110601,23,18,1.34,0.970833333333333
1612404,20110601,23,24,1.38,0.975
1612404,20110601,23,30,1.43,0.979166666666667
1612404,20110601,23,36,1.48,0.983333333333333
1612404,20110601,23,42,1.53,0.9875
1612404,20110601,23,48,1.57,0.991666666666667
1612404,20110601,23,54,1.62,0.995833333333333
1612404,20110602,0,0,1.66,1
1612404,20110602,0,6,1.7,1.00416666666667
1612404,20110602,0,12,1.74,1.00833333333333
1612404,20110602,0,18,1.78,1.0125
1612404,20110602,0,24,1.82,1.01666666666667
1612404,20110602,0,30,1.86,1.02083333333333
1612404,20110602,0,36,1.89,1.025
1612404,20110602,0,42,1.93,1.02916666666667
1612404,20110602,0,48,1.96,1.03333333333333
1612404,20110602,0,54,1.99,1.0375
1612404,20110602,1,0,2.02,1.04166666666667
1612404,20110602,1,6,2.04,1.04583333333333
1612404,20110602,1,12,2.07,1.05
1612404,20110602,1,18,2.09,1.05416666666667
1612404,20110602,1,24,2.11,1.05833333333333
1612404,20110602,1,30,2.13,1.0625
1612404,20110602,1,36,2.15,1.06666666666667
1612404,20110602,1,42,2.17,1.07083333333333
1612404,20110602,1,48,2.18,1.075
1612404,20110602,1,54,2.19,1.07916666666667
1612404,20110602,2,0,2.2,1.08333333333333
1612404,20110602,2,6,2.21,1.0875
1612404,20110602,2,12,2.22,1.09166666666667
1612404,20110602,2,18,2.22,1.09583333333333
1612404,20110602,2,24,2.23,1.1
1612404,20110602,2,30,2.23,1.10416666666667
1612404,20110602,2,36,2.22,1.10833333333333
1612404,20110602,2,42,2.22,1.1125
1612404,20110602,2,48,2.22,1.11666666666667
1612404,20110602,2,54,2.21,1.12083333333333
1612404,20110602,3,0,2.2,1.125
1612404,20110602,3,6,2.19,1.12916666666667
1612404,20110602,3,12,2.18,1.13333333333333
1612404,20110602,3,18,2.16,1.1375
1612404,20110602,3,24,2.15,1.14166666666667
1612404,20110602,3,30,2.13,1.14583333333333
1612404,20110602,3,36,2.1,1.15
1612404,20110602,3,42,2.08,1.15416666666667
1612404,20110602,3,48,2.06,1.15833333333333
1612404,20110602,3,54,2.03,1.1625
1612404,20110602,4,0,2,1.16666666666667
1612404,20110602,4,6,1.97,1.17083333333333
1612404,20110602,4,12,1.94,1.175
1612404,20110602,4,18,1.91,1.17916666666667
1612404,20110602,4,24,1.87,1.18333333333333
1612404,20110602,4,30,1.84,1.1875
1612404,20110602,4,36,1.8,1.19166666666667
1612404,20110602,4,42,1.77,1.19583333333333
1612404,20110602,4,48,1.73,1.2
1612404,20110602,4,54,1.69,1.20416666666667
1612404,20110602,5,0,1.65,1.20833333333333
1612404,20110602,5,6,1.6,1.2125
1612404,20110602,5,12,1.56,1.21666666666667
1612404,20110602,5,18,1.52,1.22083333333333
1612404,20110602,5,24,1.48,1.225
1612404,20110602,5,30,1.43,1.22916666666667
1612404,20110602,5,36,1.39,1.23333333333333
1612404,20110602,5,42,1.35,1.2375
1612404,20110602,5,48,1.3,1.24166666666667
1612404,20110602,5,54,1.25,1.24583333333333
1612404,20110602,6,0,1.21,1.25
1612404,20110602,6,6,1.16,1.25416666666667
1612404,20110602,6,12,1.12,1.25833333333333
1612404,20110602,6,18,1.07,1.2625
1612404,20110602,6,24,1.03,1.26666666666667
1612404,20110602,6,30,0.98,1.27083333333333
1612404,20110602,6,36,0.94,1.275
1612404,20110602,6,42,0.9,1.27916666666667
1612404,20110602,6,48,0.85,1.28333333333333
1612404,20110602,6,54,0.81,1.2875
1612404,20110602,7,0,0.77,1.29166666666667
1612404,20110602,7,6,0.73,1.29583333333333
1612404,20110602,7,12,0.69,1.3
1612404,20110602,7,18,0.64,1.30416666666667
1612404,20110602,7,24,0.6,1.30833333333333
1612404,20110602,7,30,0.57,1.3125
1612404,20110602,7,36,0.53,1.31666666666667
1612404,20110602,7,42,0.5,1.32083333333333
1612404,20110602,7,48,0.46,1.325
1612404,20110602,7,54,0.43,1.32916666666667
1612404,20110602,8,0,0.4,1.33333333333333
1612404,20110602,8,6,0.37,1.3375
1612404,20110602,8,12,0.34,1.34166666666667
1612404,20110602,8,18,0.31,1.34583333333333
1612404,20110602,8,24,0.29,1.35
1612404,20110602,8,30,0.27,1.35416666666667
1612404,20110602,8,36,0.25,1.35833333333333
1612404,20110602,8,42,0.23,1.3625
1612404,20110602,8,48,0.21,1.36666666666667
1612404,20110602,8,54,0.19,1.37083333333333
1612404,20110602,9,0,0.18,1.375
1612404,20110602,9,6,0.17,1.37916666666667
1612404,20110602,9,12,0.16,1.38333333333333
1612404,20110602,9,18,0.15,1.3875
1612404,20110602,9,24,0.14,1.39166666666667
1612404,20110602,9,30,0.14,1.39583333333333
1612404,20110602,9,36,0.13,1.4
1612404,20110602,9,42,0.13,1.40416666666667
1612404,20110602,9,48,0.13,1.40833333333333
1612404,20110602,9,54,0.13,1.4125
1612404,20110602,10,0,0.13,1.41666666666667
1612404,20110602,10,6,0.14,1.42083333333333
1612404,20110602,10,12,0.14,1.425
1612404,20110602,10,18,0.14,1.42916666666667
1612404,20110602,10,24,0.15,1.43333333333333
1612404,20110602,10,30,0.16,1.4375
1612404,20110602,10,36,0.17,1.44166666666667
1612404,20110602,10,42,0.17,1.44583333333333
1612404,20110602,10,48,0.18,1.45
1612404,20110602,10,54,0.19,1.45416666666667
1612404,20110602,11,0,0.21,1.45833333333333
1612404,20110602,11,6,0.22,1.4625
1612404,20110602,11,12,0.23,1.46666666666667
1612404,20110602,11,18,0.24,1.47083333333333
1612404,20110602,11,24,0.26,1.475
1612404,20110602,11,30,0.27,1.47916666666667
1612404,20110602,11,36,0.28,1.48333333333333
1612404,20110602,11,42,0.3,1.4875
1612404,20110602,11,48,0.31,1.49166666666667
