"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
41.7,66.7,24,"Savannah College of Art and Design","Private not-for-profit",1106,1073,86.8,82,23
3.7,25.9,27,"Southern Polytechnic State University","Public",596,1115,71.5,60,42
18.5,48.1,27,"University of West Georgia","Public",1361,966,83.7,77,72
26,48.1,154,"Chaminade University of Honolulu","Private not-for-profit",4302,958,70.7,15,52
10.5,33.8,219,"University of Hawaii at Hilo","Public",62,961,82.3,63,72
16.6,58.1,1178,"University of Hawaii-Manoa","Public",1725,1090,81.4,85,22
24.5,46.6,204,"Hawaii Pacific University","Private not-for-profit",11560,1030,56.9,25,17
10,32,50,"Boise State University","Public",3948,1046,73.1,42,61
18.2,54.5,44,"University of Idaho","Public",14794,1079,89.4,78,56
31.6,76.3,38,"School of the Art Institute of Chicago","Private not-for-profit",47184,1115,91.2,11,31
65.6,81.3,32,"Bradley University","Private not-for-profit",36536,1148,94.9,65,26
87.6,93.8,161,"University of Chicago","Private not-for-profit",378421,1456,99,88,12
27.1,47.9,48,"Columbia College Chicago","Private not-for-profit",8727,NA,89.7,4,45
50.3,75.7,189,"DePaul University","Private not-for-profit",13044,1134,82.5,48,54
37.5,41.7,24,"DeVry University (Chicago, Ill.)","Private for-profit",NA,NA,30.9,5,45
33.3,59,676,"University of Illinois at Chicago","Public",5649,1091,92.3,54,78
53.8,58.5,65,"Benedictine University","Private not-for-profit",1825,1049,73.9,7,34
66.6,87.2,958,"University of Illinois at Urbana-Champaign","Public",17321,1288,97.1,65,6
49.2,72.3,65,"Illinois Institute of Technology","Private not-for-profit",27041,1263,93.7,60,38
30.9,72.7,55,"Illinois State University","Public",3094,1110,94.3,71,12
81,90.5,21,"Knox College","Private not-for-profit",48203,NA,98.7,92,25
47.8,68.3,230,"Loyola University Chicago","Private not-for-profit",21992,1212,92.8,44,40
21,54.3,138,"Northern Illinois University","Public",144,1010,88.7,80,52
86.9,95.8,313,"Northwestern University","Private not-for-profit",254533,1434,89.5,91,3
4.2,17.6,142,"Northeastern Illinois University","Public",415,890,59.2,40,75
18.9,39.6,53,"Southern Illinois University at Carbondale","Public",5034,990,87.6,89,72
20.9,39.5,43,"Southern Illinois University at Edwardsville","Public",1082,1050,85.1,66,32
28.6,53.6,28,"Western Illinois University","Public",2049,970,90.7,94,42
72.5,84.3,51,"Wheaton College (Ill.)","Private not-for-profit",92413,1309,97,62,15
34.8,65.2,23,"Ball State University","Public",6712,1056,93.1,87,28
3.4,24.1,29,"Indiana University-Purdue University at Fort Wayne","Public",3191,983,66.1,20,77
15.1,43.4,53,"Indiana University-Purdue University at Indianapolis","Public",19260,1006,72,32,36
